 -----------------------------------------------------------------------------------------------------------------
 : JBACCEL : v.052107              PARAMETER SET: D45wlc0  -  User Guide Example                 DATE:04/26/2019 :
 : ORIC ACCELERATION PROGRAM                                                                     TIME:10:02:01.0 :
 -----------------------------------------------------------------------------------------------------------------

   2H   1+    ENERGY=  45.00    MASS=   1875.58    INJECTION ENERGY=    .000                              04/26/19
                                                                                                          10:01:39
 EXTRACTION RADIUS= 31.140   FREQUENCY=13.04000 MHZ   DEE VOLTAGE= 60.0 KV   PHI0= 30.00 DEG   HARMONIC=1

 ORBIT   RADIUS      BETA-R    ENERGY     PHASE    PERIOD    R-CEN   THET-CEN    AVRAD    DAVRAD    DRAD   RAD/rtE
  181    20.179  -.9983E-02    19.574     3.647   1.00023     .045    132.27    20.621     .0613    .058    4.5610
  182    20.237  -.1005E-01    19.693     3.732   1.00020     .045    134.59    20.682     .0610    .058    4.5602
  183    20.294  -.1010E-01    19.813     3.809   1.00017     .045    136.96    20.743     .0609    .058    4.5593
  184    20.352  -.1015E-01    19.933     3.875   1.00014     .046    139.04    20.803     .0607    .058    4.5586
  185    20.411  -.1021E-01    20.053     3.933   1.00011     .047    140.89    20.864     .0605    .059    4.5581
  186    20.471  -.1026E-01    20.172     3.982   1.00008     .049    142.26    20.924     .0604    .059    4.5578
  187    20.531  -.1031E-01    20.292     4.022   1.00006     .051    143.08    20.984     .0602    .060    4.5577
  188    20.591  -.1036E-01    20.412     4.053   1.00003     .053    143.39    21.044     .0600    .061    4.5577
  189    20.653  -.1042E-01    20.531     4.074   1.00002     .055    143.09    21.104     .0600    .061    4.5579
  190    20.715  -.1049E-01    20.651     4.087   1.00000     .058    142.32    21.164     .0597    .062    4.5584
  191    20.778  -.1057E-01    20.771     4.091    .99998     .059    141.16    21.224     .0596    .063    4.5590
  192    20.840  -.1065E-01    20.890     4.085    .99996     .061    139.77    21.283     .0593    .063    4.5597
  193    20.903  -.1074E-01    21.010     4.070    .99994     .062    138.30    21.342     .0593    .063    4.5603
  194    20.965  -.1084E-01    21.130     4.046    .99992     .063    136.69    21.401     .0590    .062    4.5609
  195    21.027  -.1094E-01    21.250     4.013    .99990     .063    135.04    21.460     .0589    .062    4.5615
  196    21.088  -.1105E-01    21.369     3.971    .99988     .063    133.53    21.519     .0586    .061    4.5619
  197    21.148  -.1116E-01    21.489     3.919    .99986     .062    132.18    21.577     .0585    .060    4.5621
  198    21.207  -.1127E-01    21.609     3.860    .99983     .061    131.09    21.635     .0582    .059    4.5622
  199    21.265  -.1138E-01    21.728     3.792    .99981     .060    130.27    21.693     .0580    .058    4.5620
  200    21.322  -.1148E-01    21.848     3.715    .99978     .058    129.80    21.751     .0579    .057    4.5617
  201    21.379  -.1158E-01    21.968     3.629    .99975     .056    129.76    21.809     .0577    .056    4.5612
  202    21.434  -.1167E-01    22.088     3.536    .99973     .055    130.15    21.867     .0576    .055    4.5606
  203    21.488  -.1176E-01    22.207     3.434    .99970     .053    130.99    21.924     .0573    .054    4.5598
  204    21.542  -.1184E-01    22.327     3.325    .99967     .052    132.44    21.981     .0571    .054    4.5590
  205    21.596  -.1191E-01    22.447     3.206    .99964     .051    134.31    22.038     .0570    .054    4.5582
  206    21.649  -.1198E-01    22.567     3.079    .99961     .050    136.39    22.095     .0569    .054    4.5573
  207    21.703  -.1204E-01    22.687     2.944    .99958     .050    138.60    22.152     .0568    .054    4.5566
  208    21.757  -.1210E-01    22.807     2.801    .99956     .051    140.89    22.208     .0566    .054    4.5559
  209    21.812  -.1215E-01    22.926     2.651    .99954     .051    143.03    22.265     .0565    .054    4.5553
  210    21.866  -.1220E-01    23.046     2.493    .99952     .053    144.93    22.321     .0564    .055    4.5549
  211    21.922  -.1225E-01    23.166     2.329    .99950     .055    146.32    22.378     .0563    .056    4.5546
  212    21.978  -.1230E-01    23.286     2.159    .99948     .057    147.35    22.434     .0562    .057    4.5546
  213    22.035  -.1236E-01    23.406     1.984    .99947     .059    148.00    22.490     .0562    .057    4.5547
  214    22.093  -.1241E-01    23.526     1.804    .99946     .061    148.09    22.546     .0561    .058    4.5549
  215    22.151  -.1248E-01    23.646     1.620    .99946     .064    147.92    22.602     .0560    .058    4.5554
  216    22.210  -.1255E-01    23.766     1.433    .99945     .066    147.60    22.658     .0559    .059    4.5559
  217    22.269  -.1262E-01    23.886     1.244    .99945     .068    147.06    22.714     .0557    .059    4.5564
  218    22.328  -.1269E-01    24.006     1.054    .99944     .069    146.36    22.769     .0556    .059    4.5571
  219    22.387  -.1278E-01    24.126      .862    .99945     .071    145.53    22.825     .0556    .059    4.5578
  220    22.446  -.1286E-01    24.246      .674    .99945     .072    144.64    22.880     .0555    .059    4.5585
  221    22.505  -.1296E-01    24.366      .493    .99944     .073    143.73    22.936     .0552    .059    4.5591
  222    22.563  -.1305E-01    24.486      .336    .99945     .073    142.83    22.991     .0552    .058    4.5597
  223    22.621  -.1315E-01    24.606      .256    .99945     .073    142.07    23.046     .0550    .058    4.5602
  224    22.678  -.1325E-01    24.726     -.320    .99945     .073    141.49    23.101     .0549    .057    4.5606
  225    22.734  -.1335E-01    24.846     -.473    .99945     .072    141.11    23.155     .0547    .056    4.5609
  226    22.789  -.1345E-01    24.966     -.655    .99945     .071    140.93    23.210     .0546    .055    4.5610
  227    22.844  -.1354E-01    25.086     -.847    .99945     .071    141.08    23.264     .0545    .055    4.5610
  228    22.898  -.1363E-01    25.206    -1.043    .99945     .070    141.62    23.319     .0544    .054    4.5608
  229    22.951  -.1372E-01    25.326    -1.239    .99945     .069    142.42    23.373     .0542    .053    4.5606
  230    23.004  -.1380E-01    25.446    -1.435    .99946     .068    143.59    23.427     .0542    .053    4.5603
  231    23.056  -.1387E-01    25.566    -1.627    .99946     .068    145.07    23.481     .0540    .052    4.5599
  232    23.108  -.1393E-01    25.686    -1.817    .99947     .068    146.72    23.535     .0540    .052    4.5594
  233    23.160  -.1400E-01    25.806    -2.001    .99948     .069    148.40    23.589     .0539    .052    4.5590
  234    23.212  -.1405E-01    25.926    -2.181    .99949     .070    150.07    23.643     .0537    .052    4.5587
  235    23.264  -.1411E-01    26.045    -2.356    .99951     .071    151.58    23.697     .0537    .052    4.5585
  236    23.317  -.1416E-01    26.165    -2.524    .99952     .073    152.90    23.750     .0536    .053    4.5583
  237    23.370  -.1421E-01    26.285    -2.686    .99955     .075    153.98    23.804     .0536    .053    4.5584
  238    23.424  -.1426E-01    26.405    -2.840    .99957     .077    154.73    23.857     .0534    .054    4.5585
